device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,tau_upper_ms,latency_covered,T_next_measured_C,T_next_hat_C,T_residual_C,T_upper_C,thermal_covered,joint_covered
pi3bplus,coverage,lucid_revision,n64,B0,1371,44.190356,50.274459,-6.084102999999999,81.912365,True,34.324,34.153035997535184,0.1709640024648138,35.75487060021344,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1372,44.816804,50.274459,-5.457655000000003,81.912365,True,34.324,34.15343310774801,0.1705668922519905,35.75526771042626,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1373,44.313791,50.274459,-5.960667999999998,81.912365,True,33.786,34.61083919418957,-0.8248391941895719,36.212673796867826,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1374,44.227647,50.274459,-6.046812000000003,81.912365,True,34.324,34.153059636587344,0.1709403634126545,35.754894239265596,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1375,44.283271,50.274459,-5.991188000000001,81.912365,True,34.324,34.15309489706942,0.17090510293057548,35.754929499747675,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1376,44.206397,50.274459,-6.068061999999998,81.912365,True,34.324,34.610771116305706,-0.28677111630570806,36.21260571898396,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1377,44.210356,50.274459,-6.064103000000003,81.912365,True,34.324,34.6107736259463,-0.28677362594630296,36.21260822862455,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1378,44.293896,50.274459,-5.980563000000004,81.912365,True,34.862,34.61082658259582,0.251173417404182,36.21266118527407,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1379,44.212178,50.274459,-6.062280999999999,81.912365,True,34.862,34.610774780926135,0.2512252190738664,36.21260938360439,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1380,44.191763,50.274459,-6.0826959999999985,81.912365,True,34.324,34.61076183970037,-0.2867618397003753,36.212596442378626,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1381,44.718734,50.274459,-5.5557250000000025,81.912365,True,34.324,34.153370940419556,0.17062905958044183,35.75520554309781,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1382,44.26723,50.274459,-6.007229000000002,81.912365,True,34.324,34.15308472855595,0.17091527144404495,35.754919331234206,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1383,44.283584,50.274459,-5.990875000000003,81.912365,True,34.324,34.61082004573959,-0.28682004573958864,36.21265464841784,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1384,44.441237,50.274459,-5.833221999999999,81.912365,True,34.862,34.61091998319071,0.25108001680928993,36.212754585868964,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1385,44.92946,50.274459,-5.344999000000001,81.912365,True,34.324,34.611229471511265,-0.2872294715112673,36.21306407418952,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1386,44.307386,50.274459,-5.967072999999999,81.912365,True,34.324,34.15311018375368,0.17088981624631572,35.754944786431935,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1387,44.360927,50.274459,-5.913532000000004,81.912365,True,34.324,34.153144123806015,0.17085587619398268,35.75497872648427,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1388,44.18619,50.274459,-6.088268999999997,81.912365,True,34.862,34.15303335667569,0.7089666433243096,35.754867959353945,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1389,44.179419,50.274459,-6.095039999999997,81.912365,True,34.324,34.15302906448664,0.17097093551335973,35.75486366716489,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1390,44.365406,50.274459,-5.909053,81.912365,True,34.324,34.61087191333567,-0.2868719133356734,36.212706516013924,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1391,44.256345,50.274459,-6.018113999999997,81.912365,True,34.324,34.15307782847061,0.1709221715293907,35.75491243114886,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1392,44.338531,50.274459,-5.935927999999997,81.912365,True,34.324,34.1531299268091,0.17087007319089764,35.75496452948735,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1393,44.321812,50.274459,-5.952646999999999,81.912365,True,34.324,34.15311932850621,0.17088067149379071,35.75495393118446,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1394,44.259001,50.274459,-6.015458000000002,81.912365,True,34.324,34.153079512129466,0.17092048787053216,35.75491411480772,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1395,44.278324,50.274459,-5.996135000000002,81.912365,True,34.324,34.61081671138507,-0.2868167113850717,36.21265131406332,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1396,44.234731,50.274459,-6.039728000000004,81.912365,True,34.324,33.69533917693246,0.6286608230675412,35.29717377961071,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1397,44.186867,50.274459,-6.087592000000001,81.912365,True,34.324,34.153033785831205,0.17096621416879287,35.75486838850946,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1398,44.311917,50.274459,-5.962541999999999,81.912365,True,34.862,33.695388105732434,1.166611894267568,35.297222708410686,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1399,44.290198,50.274459,-5.984261000000004,81.912365,True,34.324,34.153099288148084,0.1709007118519139,35.75493389082634,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1400,694.106227,719.780619,-25.67439200000001,751.418525,True,34.862,34.73885766761128,0.12314233238872418,36.34069227028953,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1401,712.567664,719.780619,-7.212954999999965,751.418525,True,35.4,35.66601041525081,-0.26601041525081115,37.26784501792906,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1402,713.784472,719.780619,-5.996146999999951,751.418525,True,35.4,35.666781759215255,-0.26678175921525593,37.26861636189351,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1403,711.932629,719.780619,-7.847989999999982,751.418525,True,35.4,35.207882911415496,0.19211708858450294,36.80971751409375,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1404,712.995067,719.780619,-6.785552000000052,751.418525,True,35.4,35.66628134930485,-0.2662813493048546,37.268115951983106,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1405,713.633185,719.780619,-6.147433999999976,751.418525,True,35.938,35.66668585722057,0.2713141427794312,37.268520459898824,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1406,712.563987,719.780619,-7.216632000000004,751.418525,True,35.938,36.12373303462925,-0.1857330346292443,37.7255676373075,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1407,715.575508,719.780619,-4.205110999999988,751.418525,True,35.938,35.66791711073227,0.2700828892677336,37.26975171341052,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1408,712.606913,719.780619,-7.173706000000038,751.418525,True,35.4,35.66603529549425,-0.2660352954942482,37.2678698981725,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1409,714.470845,719.780619,-5.309773999999948,751.418525,True,35.938,36.58266675686129,-0.6446667568612909,38.184501359539546,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1410,713.243837,719.780619,-6.5367820000000165,751.418525,True,35.938,36.58188894703827,-0.6438889470382705,38.183723549716525,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1411,712.921348,719.780619,-6.859271000000035,751.418525,True,35.938,36.581684518776996,-0.6436845187769933,38.18351912145525,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1412,712.969268,719.780619,-6.811350999999945,751.418525,True,35.938,35.666264995120024,0.2717350048799787,37.268099597798276,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1413,711.871163,719.780619,-7.909455999999977,751.418525,True,36.476,36.12329384815872,0.3527061518412822,37.72512845083697,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1414,715.266897,719.780619,-4.51372200000003,751.418525,True,36.476,36.5831713803562,-0.10717138035619911,38.18500598303445,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1415,714.051347,719.780619,-5.729272000000037,751.418525,True,35.938,36.582400833847636,-0.6444008338476337,38.18423543652589,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1416,714.766913,719.780619,-5.0137059999999565,751.418525,True,36.476,36.582854436647146,-0.10685443664714711,38.1846890393254,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1417,717.33271,719.780619,-2.4479089999999815,751.418525,True,36.476,37.0422058653872,-0.5662058653872037,38.644040468065455,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1418,714.188285,719.780619,-5.592334000000051,751.418525,True,36.476,36.124762689643646,0.3512373103563533,37.7265972923219,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1419,727.59376,719.780619,7.813140999999973,751.418525,True,36.476,36.133260523510465,0.34273947648953396,37.73509512618872,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1420,714.46381,719.780619,-5.316809000000035,751.418525,True,36.476,36.12493734706356,0.35106265293644157,37.72677194974181,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1421,715.234688,719.780619,-4.545930999999996,751.418525,True,36.476,36.583150962822984,-0.10715096282298475,38.184985565501236,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1422,714.592827,719.780619,-5.187791999999945,751.418525,True,36.476,36.12501913193369,0.35098086806630846,37.72685373461194,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1423,715.546619,719.780619,-4.234000000000037,751.418525,True,36.476,36.583348698286734,-0.1073486982867351,38.18518330096499,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1424,713.899981,719.780619,-5.880637999999976,751.418525,True,36.476,36.58230488177424,-0.10630488177424269,38.184139484452494,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1425,714.154566,719.780619,-5.626052999999956,751.418525,True,36.476,36.58246626516685,-0.10646626516685131,38.1843008678451,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1426,713.818012,719.780619,-5.962607000000048,751.418525,True,36.476,36.582252920993724,-0.1062529209937253,38.18408752367198,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1427,713.577759,719.780619,-6.202859999999987,751.418525,True,36.476,36.58210062276632,-0.10610062276631993,38.18393522544457,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1428,714.668007,719.780619,-5.112612000000013,751.418525,True,36.476,37.040516689628916,-0.5645166896289169,38.64235129230717,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1429,714.599159,719.780619,-5.1814600000000155,751.418525,True,36.476,36.58274809609431,-0.10674809609431435,38.184582698772566,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1430,714.200419,719.780619,-5.580199999999991,751.418525,True,36.476,36.58249533173676,-0.10649533173675962,38.18432993441501,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1431,716.241225,719.780619,-3.5393940000000157,751.418525,True,36.476,36.583789014380784,-0.10778901438078492,38.185623617059036,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1432,715.828528,719.780619,-3.952090999999996,751.418525,True,36.476,36.583527402573424,-0.10752740257342452,38.185362005251676,True,True
