timestamp_utc,temperature_c,throttled
2026-09-10T13:09:09Z,38.459,0x0
2026-09-10T13:09:10Z,38.459,0x0
2026-09-10T13:09:11Z,38.946,0x0
2026-09-10T13:09:12Z,39.433,0x0
2026-09-10T13:09:13Z,39.433,0x0
2026-09-10T13:09:14Z,39.433,0x0
2026-09-10T13:09:15Z,40.407,0x0
2026-09-10T13:09:16Z,39.433,0x0
2026-09-10T13:09:17Z,39.433,0x0
2026-09-10T13:09:18Z,39.433,0x0
2026-09-10T13:09:19Z,38.459,0x0
2026-09-10T13:09:20Z,40.407,0x0
2026-09-10T13:09:21Z,39.433,0x0
2026-09-10T13:09:22Z,39.433,0x0
2026-09-10T13:09:23Z,38.946,0x0
2026-09-10T13:09:24Z,38.459,0x0
2026-09-10T13:09:25Z,39.433,0x0
2026-09-10T13:09:26Z,38.459,0x0
2026-09-10T13:09:27Z,38.459,0x0
2026-09-10T13:09:28Z,36.998,0x0
2026-09-10T13:09:29Z,37.485,0x0
2026-09-10T13:09:30Z,36.511,0x0
2026-09-10T13:09:31Z,36.511,0x0
2026-09-10T13:09:32Z,37.485,0x0
2026-09-10T13:09:33Z,36.998,0x0
2026-09-10T13:09:34Z,36.024,0x0
2026-09-10T13:09:35Z,35.537,0x0
2026-09-10T13:09:36Z,37.972,0x0
2026-09-10T13:09:37Z,38.459,0x0
2026-09-10T13:09:38Z,39.433,0x0
2026-09-10T13:09:39Z,39.433,0x0
2026-09-10T13:09:40Z,38.946,0x0
2026-09-10T13:09:41Z,37.972,0x0
2026-09-10T13:09:42Z,38.459,0x0
2026-09-10T13:09:43Z,39.92,0x0
2026-09-10T13:09:44Z,40.407,0x0
2026-09-10T13:09:45Z,38.946,0x0
2026-09-10T13:09:46Z,39.92,0x0
2026-09-10T13:09:47Z,40.894,0x0
2026-09-10T13:09:48Z,39.433,0x0
2026-09-10T13:09:49Z,40.407,0x0
2026-09-10T13:09:50Z,39.433,0x0
2026-09-10T13:09:51Z,38.946,0x0
2026-09-10T13:09:52Z,38.946,0x0
2026-09-10T13:09:53Z,39.433,0x0
2026-09-10T13:09:54Z,38.459,0x0
2026-09-10T13:09:55Z,38.946,0x0
2026-09-10T13:09:56Z,37.972,0x0
2026-09-10T13:09:57Z,39.433,0x0
2026-09-10T13:09:58Z,38.459,0x0
2026-09-10T13:09:59Z,38.459,0x0
2026-09-10T13:10:00Z,37.972,0x0
2026-09-10T13:10:01Z,37.972,0x0
2026-09-10T13:10:02Z,37.485,0x0
2026-09-10T13:10:03Z,38.459,0x0
2026-09-10T13:10:04Z,36.511,0x0
2026-09-10T13:10:05Z,37.972,0x0
2026-09-10T13:10:06Z,37.485,0x0
2026-09-10T13:10:07Z,38.459,0x0
2026-09-10T13:10:08Z,36.511,0x0
2026-09-10T13:10:09Z,37.972,0x0
2026-09-10T13:10:10Z,37.485,0x0
2026-09-10T13:10:11Z,38.459,0x0
2026-09-10T13:10:12Z,36.998,0x0
2026-09-10T13:10:13Z,38.946,0x0
2026-09-10T13:10:14Z,38.459,0x0
2026-09-10T13:10:15Z,38.459,0x0
2026-09-10T13:10:16Z,38.459,0x0
2026-09-10T13:10:17Z,37.485,0x0
2026-09-10T13:10:18Z,36.511,0x0
2026-09-10T13:10:19Z,37.972,0x0
2026-09-10T13:10:20Z,36.511,0x0
2026-09-10T13:10:21Z,38.459,0x0
2026-09-10T13:10:22Z,36.998,0x0
2026-09-10T13:10:23Z,37.972,0x0
2026-09-10T13:10:24Z,38.459,0x0
2026-09-10T13:10:25Z,37.485,0x0
2026-09-10T13:10:26Z,36.998,0x0
2026-09-10T13:10:27Z,38.459,0x0
2026-09-10T13:10:28Z,38.946,0x0
2026-09-10T13:10:29Z,37.972,0x0
2026-09-10T13:10:30Z,37.972,0x0
2026-09-10T13:10:31Z,38.459,0x0
2026-09-10T13:10:32Z,38.946,0x0
2026-09-10T13:10:33Z,37.485,0x0
2026-09-10T13:10:34Z,37.485,0x0
2026-09-10T13:10:35Z,37.972,0x0
2026-09-10T13:10:36Z,37.972,0x0
2026-09-10T13:10:37Z,37.972,0x0
2026-09-10T13:10:38Z,38.946,0x0
2026-09-10T13:10:39Z,37.485,0x0
2026-09-10T13:10:40Z,37.972,0x0
2026-09-10T13:10:41Z,38.459,0x0
2026-09-10T13:10:42Z,38.459,0x0
2026-09-10T13:10:43Z,37.485,0x0
2026-09-10T13:10:44Z,37.485,0x0
2026-09-10T13:10:45Z,36.511,0x0
2026-09-10T13:10:46Z,36.998,0x0
2026-09-10T13:10:47Z,36.511,0x0
2026-09-10T13:10:48Z,37.485,0x0
2026-09-10T13:10:49Z,37.972,0x0
2026-09-10T13:10:50Z,36.998,0x0
2026-09-10T13:10:51Z,38.946,0x0
2026-09-10T13:10:52Z,38.459,0x0
2026-09-10T13:10:53Z,37.485,0x0
2026-09-10T13:10:54Z,36.998,0x0
2026-09-10T13:10:55Z,36.998,0x0
2026-09-10T13:10:56Z,36.511,0x0
2026-09-10T13:10:57Z,36.511,0x0
2026-09-10T13:10:58Z,36.998,0x0
2026-09-10T13:10:59Z,36.998,0x0
2026-09-10T13:11:00Z,38.459,0x0
2026-09-10T13:11:01Z,37.972,0x0
2026-09-10T13:11:02Z,37.972,0x0
