split,action,metric,n,rank,value,ecdf
fit,fisvdd_revision,tau_residual_ms,720,278,-1.2516429999999978,0.3861111111111111
fit,fisvdd_revision,tau_residual_ms,720,279,-1.2506059999999977,0.3875
fit,fisvdd_revision,tau_residual_ms,720,280,-1.2505689999999987,0.3888888888888889
fit,fisvdd_revision,tau_residual_ms,720,281,-1.2406809999999986,0.3902777777777778
fit,fisvdd_revision,tau_residual_ms,720,282,-1.2395139999999998,0.39166666666666666
fit,fisvdd_revision,tau_residual_ms,720,283,-1.2285879999999985,0.39305555555555555
fit,fisvdd_revision,tau_residual_ms,720,284,-1.2224779999999953,0.39444444444444443
fit,fisvdd_revision,tau_residual_ms,720,285,-1.2151629999999969,0.3958333333333333
fit,fisvdd_revision,tau_residual_ms,720,286,-1.2134209999999968,0.3972222222222222
fit,fisvdd_revision,tau_residual_ms,720,287,-1.2127359999999996,0.39861111111111114
fit,fisvdd_revision,tau_residual_ms,720,288,-1.1968109999999967,0.4
fit,fisvdd_revision,tau_residual_ms,720,289,-1.196273999999999,0.4013888888888889
fit,fisvdd_revision,tau_residual_ms,720,290,-1.1891619999999996,0.4027777777777778
fit,fisvdd_revision,tau_residual_ms,720,291,-1.188958999999997,0.4041666666666667
fit,fisvdd_revision,tau_residual_ms,720,292,-1.1873289999999983,0.40555555555555556
fit,fisvdd_revision,tau_residual_ms,720,293,-1.180793,0.40694444444444444
fit,fisvdd_revision,tau_residual_ms,720,294,-1.1777929999999999,0.4083333333333333
fit,fisvdd_revision,tau_residual_ms,720,295,-1.176386,0.4097222222222222
fit,fisvdd_revision,tau_residual_ms,720,296,-1.1706629999999976,0.4111111111111111
fit,fisvdd_revision,tau_residual_ms,720,297,-1.1700339999999998,0.4125
fit,fisvdd_revision,tau_residual_ms,720,298,-1.1674039999999977,0.41388888888888886
fit,fisvdd_revision,tau_residual_ms,720,299,-1.1623669999999997,0.4152777777777778
fit,fisvdd_revision,tau_residual_ms,720,300,-1.15909,0.4166666666666667
fit,fisvdd_revision,tau_residual_ms,720,301,-1.15809,0.41805555555555557
fit,fisvdd_revision,tau_residual_ms,720,302,-1.15646,0.41944444444444445
fit,fisvdd_revision,tau_residual_ms,720,303,-1.1560899999999998,0.42083333333333334
fit,fisvdd_revision,tau_residual_ms,720,304,-1.154423,0.4222222222222222
fit,fisvdd_revision,tau_residual_ms,720,305,-1.149775,0.4236111111111111
fit,fisvdd_revision,tau_residual_ms,720,306,-1.149423,0.425
fit,fisvdd_revision,tau_residual_ms,720,307,-1.1429420000000001,0.4263888888888889
fit,fisvdd_revision,tau_residual_ms,720,308,-1.139923,0.42777777777777776
fit,fisvdd_revision,tau_residual_ms,720,309,-1.1370899999999997,0.42916666666666664
fit,fisvdd_revision,tau_residual_ms,720,310,-1.13409,0.4305555555555556
fit,fisvdd_revision,tau_residual_ms,720,311,-1.1317939999999997,0.43194444444444446
fit,fisvdd_revision,tau_residual_ms,720,312,-1.131738,0.43333333333333335
fit,fisvdd_revision,tau_residual_ms,720,313,-1.1311459999999998,0.43472222222222223
fit,fisvdd_revision,tau_residual_ms,720,314,-1.1270709999999973,0.4361111111111111
fit,fisvdd_revision,tau_residual_ms,720,315,-1.125886,0.4375
fit,fisvdd_revision,tau_residual_ms,720,316,-1.125702,0.4388888888888889
fit,fisvdd_revision,tau_residual_ms,720,317,-1.1248869999999997,0.44027777777777777
fit,fisvdd_revision,tau_residual_ms,720,318,-1.1228310000000001,0.44166666666666665
fit,fisvdd_revision,tau_residual_ms,720,319,-1.119533999999998,0.44305555555555554
fit,fisvdd_revision,tau_residual_ms,720,320,-1.11796,0.4444444444444444
fit,fisvdd_revision,tau_residual_ms,720,321,-1.116146,0.44583333333333336
fit,fisvdd_revision,tau_residual_ms,720,322,-1.114312,0.44722222222222224
fit,fisvdd_revision,tau_residual_ms,720,323,-1.1140539999999994,0.4486111111111111
fit,fisvdd_revision,tau_residual_ms,720,324,-1.111498,0.45
fit,fisvdd_revision,tau_residual_ms,720,325,-1.110201,0.4513888888888889
fit,fisvdd_revision,tau_residual_ms,720,326,-1.105238,0.4527777777777778
fit,fisvdd_revision,tau_residual_ms,720,327,-1.104072,0.45416666666666666
fit,fisvdd_revision,tau_residual_ms,720,328,-1.104035,0.45555555555555555
